#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       12200       2.319896e-03       2.357376e-04       1.071262e-03       6.494194e-02       6.001608e-03       1.964798e-02
       12300       2.638923e-03       3.514843e-04       1.335671e-03       9.493094e-02       4.996393e-03       2.012930e-02
       12400       2.867655e-03       1.807446e-04       1.390047e-03       7.860002e-02       6.420337e-03       1.817106e-02
       12500       3.477021e-03       3.268478e-04       1.817337e-03       5.721416e-02       5.619846e-03       1.897879e-02
       12600       3.545689e-03       7.240432e-04       1.943620e-03       9.401034e-02       6.752001e-03       2.165345e-02
       12700       2.866822e-03       2.793779e-04       1.499596e-03       7.254917e-02       5.626117e-03       2.005362e-02
       12800       2.821545e-03       6.023637e-04       1.502764e-03       8.461461e-02       5.595779e-03       2.195262e-02
       12900       3.113089e-03       4.431788e-04       1.547238e-03       8.339958e-02       6.226193e-03       2.190546e-02
       13000       3.306461e-03       3.519914e-04       1.757736e-03       8.025946e-02       5.311926e-03       1.944797e-02
       13100       3.427425e-03       2.679949e-04       1.691617e-03       5.614431e-02       6.250132e-03       2.131024e-02
       13200       3.333775e-03       3.228378e-04       1.576431e-03       8.075025e-02       5.588189e-03       2.155334e-02
       13300       2.858555e-03       4.599267e-04       1.584289e-03       7.896016e-02       6.006919e-03       2.081468e-02
       13400       3.153405e-03       4.055377e-04       1.760868e-03       7.351292e-02       5.482593e-03       2.286905e-02
       13500       3.313653e-03       2.988704e-04       1.704296e-03       5.071527e-02       6.341644e-03       2.185910e-02
       13600       2.478293e-03       4.870394e-04       1.391431e-03       8.957581e-02       6.229634e-03       2.392456e-02
       13700       4.070161e-03       4.664341e-04       2.143240e-03       7.250040e-02       6.364127e-03       2.205884e-02
       13800       3.881479e-03       6.069411e-04       2.164102e-03       5.658480e-02       6.855389e-03       2.224407e-02
       13900       4.399845e-03       3.259270e-04       2.301602e-03       6.735725e-02       7.398545e-03       2.180437e-02
       14000       4.148885e-03       2.206807e-04       2.119701e-03       7.063625e-02       5.967965e-03       2.461104e-02
       14100       4.149032e-03       4.844771e-04       2.222655e-03       6.054443e-02       6.786384e-03       2.415593e-02
       14200       2.876594e-03       5.258030e-04       1.587567e-03       7.300736e-02       8.028923e-03       2.202437e-02
       14300       3.116384e-03       5.329006e-04       1.702617e-03       6.527513e-02       7.193320e-03       2.199782e-02
       14400       2.969156e-03       5.262015e-04       1.690812e-03       6.143079e-02       6.156537e-03       2.251080e-02
       14500       2.873098e-03       3.882667e-04       1.566598e-03       7.384415e-02       5.111642e-03       2.220999e-02
       14600       2.731046e-03       3.492206e-05       1.465712e-03       6.618159e-02       7.273236e-03       2.270470e-02
       14700       3.147652e-03       3.012023e-04       1.758990e-03       4.780729e-02       6.262807e-03       1.904093e-02
       14800       3.427224e-03       1.826441e-04       1.786446e-03       4.929359e-02       7.067437e-03       2.018631e-02
       14900       4.127357e-03       5.037543e-04       2.071067e-03       5.603481e-02       7.820781e-03       2.108798e-02
       15000       3.673459e-03       2.838598e-04       2.038308e-03       6.676232e-02       6.299010e-03       2.010459e-02
       15100       3.790616e-03       1.475772e-04       2.143179e-03       7.020911e-02       6.808379e-03       2.010837e-02
       15200       3.245132e-03       3.265679e-04       1.779215e-03       5.520995e-02       6.038171e-03       1.951850e-02
       15300       3.301200e-03       2.770696e-04       1.890383e-03       4.624720e-02       4.982341e-03       1.884260e-02
       15400       3.752765e-03       2.791376e-04       1.758361e-03       5.042258e-02       5.174694e-03       2.030527e-02
       15500       3.459820e-03       6.288558e-04       1.986874e-03       5.663976e-02       5.442223e-03       1.868974e-02
       15600       3.963237e-03       2.044518e-04       1.874062e-03       4.432852e-02       5.270766e-03       1.793974e-02
       15700       3.198733e-03       2.647518e-04       1.499868e-03       4.748551e-02       5.718474e-03       1.969352e-02
       15800       2.429251e-03       7.801217e-05       1.250164e-03       4.065121e-02       3.852539e-03       1.874407e-02
       15900       1.956706e-03       7.036106e-05       1.119678e-03       6.569816e-02       7.765164e-03       1.985125e-02
       16000       2.565419e-03       3.271189e-04       1.354160e-03       6.135303e-02       4.672429e-03       1.858838e-02
       16100       2.554921e-03       3.809048e-04       1.310910e-03       8.142036e-02       6.111463e-03       1.948411e-02
       16200       2.396569e-03       3.993416e-04       1.433316e-03       7.239529e-02       6.671621e-03       2.021422e-02
       16300       2.460499e-03       4.635275e-04       1.276926e-03       4.035413e-02       6.472444e-03       1.904929e-02
       16400       2.240898e-03       2.473007e-04       1.304337e-03       4.350739e-02       3.875472e-03       1.903932e-02
       16500       2.661363e-03       3.165415e-04       1.267642e-03       5.123927e-02       5.427274e-03       1.789788e-02
       16600       2.573887e-03       2.833437e-04       1.465669e-03       5.461225e-02       5.830580e-03       1.859167e-02
       16700       2.188245e-03       4.990630e-04       1.272087e-03       6.864495e-02       5.347513e-03       1.924051e-02
       16800       2.088627e-03       2.715009e-04       1.161925e-03       6.629314e-02       6.863163e-03       2.074025e-02
       16900       3.150686e-03       2.688581e-04       1.667790e-03       9.832833e-02       3.994648e-03       1.981668e-02
       17000       2.902380e-03       1.929723e-04       1.647250e-03       7.768209e-02       5.979876e-03       2.268498e-02
       17100       3.430312e-03       4.625593e-04       1.970576e-03       7.065715e-02       5.039019e-03       1.975671e-02
       17200       3.429539e-03       4.100779e-04       1.951708e-03       6.927058e-02       5.712412e-03       1.862674e-02
       17300       2.694087e-03       1.326268e-04       1.550884e-03       5.080758e-02       4.868967e-03       1.824839e-02
       17400       3.033727e-03       9.800327e-05       1.726951e-03       6.287298e-02       6.597504e-03       1.851899e-02
       17500       2.901769e-03       3.251848e-04       1.555076e-03       6.219509e-02       4.391049e-03       1.812225e-02
       17600       2.916462e-03       4.481387e-04       1.535072e-03       6.889324e-02       4.955583e-03       2.023157e-02
       17700       2.282497e-03       3.718742e-04       1.359224e-03       6.003138e-02       4.692064e-03       1.951411e-02
       17800       2.956587e-03       5.251285e-04       1.681075e-03       4.682843e-02       6.101446e-03       1.793189e-02
       17900       2.869050e-03       1.350043e-04       1.517339e-03       4.680858e-02       6.066682e-03       1.758942e-02
       18000       2.792811e-03       3.245658e-04       1.509611e-03       4.919335e-02       5.417001e-03       1.914079e-02
       18100       2.994321e-03       4.270799e-04       1.634481e-03       6.025686e-02       5.502802e-03       2.070146e-02
       18200       2.870466e-03       2.374821e-04       1.532525e-03       4.630875e-02       4.903384e-03       1.958543e-02
       18300       2.618060e-03       4.823224e-04       1.326120e-03       1.047202e-01       7.190306e-03       2.158380e-02
       18400       3.152602e-03       1.945217e-04       1.535067e-03       5.944930e-02       6.144257e-03       2.255313e-02
       18500       3.186506e-03       3.149643e-04       1.812388e-03       5.594506e-02       7.239569e-03       2.120042e-02
       18600       2.797684e-03       2.886309e-04       1.372663e-03       6.688478e-02       6.054514e-03       2.071450e-02
       18700       3.267233e-03       2.556905e-04       1.802285e-03       6.011637e-02       7.185248e-03       2.038054e-02
       18800       3.106404e-03       3.727548e-04       1.734037e-03       7.226301e-02       4.650815e-03       2.192479e-02
       18900       3.581571e-03       3.183414e-04       1.818082e-03       6.657421e-02       4.260019e-03       2.107053e-02
       19000       3.421516e-03       5.355732e-04       1.816342e-03       5.700531e-02       6.119171e-03       1.955799e-02
       19100       3.224656e-03       3.354671e-04       1.841862e-03       6.034822e-02       7.192426e-03       2.270906e-02
       19200       3.509536e-03       4.936057e-04       1.719090e-03       8.020663e-02       5.529926e-03       2.058322e-02
       19300       2.388055e-03       4.456744e-04       1.294858e-03       5.223458e-02       5.280051e-03       1.982048e-02
       19400       2.872696e-03       2.496991e-04       1.572055e-03       8.609357e-02       7.348472e-03       2.197863e-02
       19500       2.548935e-03       3.126919e-04       1.408260e-03       4.522032e-02       6.617873e-03       1.895544e-02
