#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  18400      1.73e+00    1.62e+00      9.26e-03    8.54e-03      6.38e-02    5.98e-02    7.4e-04
  18500      1.58e+00    1.41e+00      3.68e-03    4.87e-03      5.83e-02    5.21e-02    7.4e-04
  18600      1.72e+00    1.70e+00      5.43e-04    2.74e-04      6.33e-02    6.28e-02    7.4e-04
  18700      1.71e+00    1.64e+00      2.11e-03    2.72e-03      6.29e-02    6.05e-02    7.4e-04
  18800      1.52e+00    1.63e+00      9.57e-03    9.90e-03      5.61e-02    6.01e-02    7.4e-04
  18900      1.58e+00    1.59e+00      4.36e-03    3.80e-03      5.82e-02    5.88e-02    7.4e-04
  19000      1.63e+00    1.69e+00      9.06e-03    9.19e-03      6.01e-02    6.22e-02    7.4e-04
  19100      1.63e+00    1.51e+00      4.00e-03    4.50e-03      6.01e-02    5.58e-02    7.4e-04
  19200      1.53e+00    1.49e+00      6.15e-03    7.51e-03      5.65e-02    5.50e-02    7.4e-04
  19300      1.86e+00    1.85e+00      2.52e-02    2.52e-02      6.83e-02    6.80e-02    7.4e-04
  19400      1.58e+00    1.57e+00      5.86e-03    6.51e-03      5.81e-02    5.78e-02    7.4e-04
  19500      1.63e+00    1.68e+00      8.64e-03    9.45e-03      5.99e-02    6.17e-02    7.4e-04
  19600      1.71e+00    1.71e+00      1.39e-02    1.44e-02      6.29e-02    6.29e-02    7.4e-04
  19700      1.69e+00    1.66e+00      6.19e-03    5.72e-03      6.22e-02    6.13e-02    7.4e-04
  19800      1.61e+00    1.68e+00      7.88e-03    7.02e-03      5.95e-02    6.19e-02    7.4e-04
  19900      1.49e+00    1.50e+00      3.59e-03    3.94e-03      5.49e-02    5.52e-02    7.4e-04
  20000      1.39e+00    1.39e+00      2.54e-03    2.70e-03      5.39e-02    5.38e-02    6.6e-04
  20100      1.45e+00    1.51e+00      6.30e-03    5.42e-03      5.64e-02    5.84e-02    6.6e-04
  20200      1.44e+00    1.58e+00      8.90e-03    9.43e-03      5.59e-02    6.13e-02    6.6e-04
  20300      1.59e+00    1.58e+00      3.18e-02    3.26e-02      6.09e-02    6.06e-02    6.6e-04
  20400      1.50e+00    1.36e+00      1.47e-03    1.77e-03      5.83e-02    5.27e-02    6.6e-04
  20500      1.61e+00    1.50e+00      2.70e-03    2.86e-03      6.25e-02    5.80e-02    6.6e-04
  20600      1.52e+00    1.54e+00      1.55e-02    1.62e-02      5.87e-02    5.94e-02    6.6e-04
  20700      1.47e+00    1.30e+00      4.59e-03    5.85e-03      5.71e-02    5.03e-02    6.6e-04
  20800      1.54e+00    1.40e+00      2.38e-03    2.57e-03      5.96e-02    5.44e-02    6.6e-04
  20900      1.37e+00    1.40e+00      7.79e-03    6.94e-03      5.31e-02    5.43e-02    6.6e-04
  21000      1.55e+00    1.43e+00      1.15e-02    1.21e-02      5.99e-02    5.53e-02    6.6e-04
  21100      1.46e+00    1.44e+00      1.44e-02    1.49e-02      5.65e-02    5.58e-02    6.6e-04
  21200      1.63e+00    1.51e+00      5.94e-03    6.04e-03      6.31e-02    5.87e-02    6.6e-04
  21300      1.41e+00    1.25e+00      8.13e-03    8.07e-03      5.47e-02    4.85e-02    6.6e-04
  21400      1.61e+00    1.48e+00      1.53e-02    1.53e-02      6.25e-02    5.73e-02    6.6e-04
  21500      1.44e+00    1.29e+00      6.96e-03    7.00e-03      5.60e-02    5.01e-02    6.6e-04
  21600      1.48e+00    1.61e+00      5.83e-03    6.49e-03      5.75e-02    6.26e-02    6.6e-04
  21700      1.42e+00    1.47e+00      1.37e-02    1.46e-02      5.49e-02    5.68e-02    6.6e-04
  21800      1.38e+00    1.46e+00      7.30e-03    7.31e-03      5.34e-02    5.65e-02    6.6e-04
  21900      1.44e+00    1.49e+00      1.89e-02    1.87e-02      5.54e-02    5.77e-02    6.6e-04
  22000      1.61e+00    1.64e+00      4.91e-03    4.30e-03      6.26e-02    6.37e-02    6.6e-04
  22100      1.55e+00    1.47e+00      1.51e-03    1.50e-03      6.01e-02    5.72e-02    6.6e-04
  22200      1.41e+00    1.43e+00      1.10e-02    1.05e-02      5.44e-02    5.55e-02    6.6e-04
  22300      1.51e+00    1.47e+00      2.86e-02    2.84e-02      5.80e-02    5.63e-02    6.6e-04
  22400      1.44e+00    1.39e+00      1.39e-02    1.38e-02      5.56e-02    5.39e-02    6.6e-04
  22500      1.44e+00    1.34e+00      2.29e-02    2.25e-02      5.56e-02    5.15e-02    6.6e-04
  22600      1.74e+00    1.63e+00      3.43e-03    3.45e-03      6.74e-02    6.32e-02    6.6e-04
  22700      1.61e+00    1.65e+00      3.50e-02    3.56e-02      6.16e-02    6.29e-02    6.6e-04
  22800      1.49e+00    1.40e+00      9.31e-03    9.47e-03      5.78e-02    5.43e-02    6.6e-04
  22900      1.44e+00    1.43e+00      3.82e-03    3.66e-03      5.59e-02    5.57e-02    6.6e-04
  23000      1.70e+00    1.63e+00      4.76e-04    3.83e-04      6.60e-02    6.33e-02    6.6e-04
  23100      1.55e+00    1.27e+00      7.42e-03    6.74e-03      6.01e-02    4.94e-02    6.6e-04
  23200      1.82e+00    1.77e+00      2.83e-02    2.82e-02      7.02e-02    6.81e-02    6.6e-04
  23300      1.38e+00    1.33e+00      1.35e-02    1.40e-02      5.34e-02    5.16e-02    6.6e-04
  23400      1.66e+00    1.65e+00      4.85e-03    4.27e-03      6.42e-02    6.41e-02    6.6e-04
  23500      1.66e+00    1.63e+00      1.92e-02    1.88e-02      6.40e-02    6.28e-02    6.6e-04
  23600      1.42e+00    1.39e+00      9.89e-03    9.54e-03      5.51e-02    5.37e-02    6.6e-04
  23700      1.72e+00    1.70e+00      2.61e-02    2.70e-02      6.64e-02    6.55e-02    6.6e-04
  23800      1.52e+00    1.59e+00      2.05e-02    1.99e-02      5.86e-02    6.13e-02    6.6e-04
  23900      1.49e+00    1.35e+00      1.42e-02    1.42e-02      5.78e-02    5.23e-02    6.6e-04
  24000      1.63e+00    1.56e+00      2.85e-03    1.65e-03      6.32e-02    6.04e-02    6.6e-04
  24100      1.48e+00    1.41e+00      7.13e-03    6.24e-03      5.74e-02    5.46e-02    6.6e-04
  24200      1.38e+00    1.34e+00      1.53e-02    1.58e-02      5.34e-02    5.20e-02    6.6e-04
  24300      1.43e+00    1.42e+00      1.14e-02    1.11e-02      5.55e-02    5.51e-02    6.6e-04
  24400      1.45e+00    1.29e+00      1.79e-02    1.85e-02      5.60e-02    4.98e-02    6.6e-04
  24500      1.39e+00    1.35e+00      1.15e-02    1.10e-02      5.40e-02    5.23e-02    6.6e-04
  24600      1.46e+00    1.26e+00      6.06e-03    5.92e-03      5.64e-02    4.87e-02    6.6e-04
  24700      1.55e+00    1.46e+00      2.38e-02    2.34e-02      5.95e-02    5.60e-02    6.6e-04
  24800      1.33e+00    1.36e+00      4.11e-03    3.75e-03      5.15e-02    5.28e-02    6.6e-04
  24900      1.35e+00    1.32e+00      4.20e-03    4.30e-03      5.24e-02    5.14e-02    6.6e-04
  25000      1.32e+00    1.32e+00      2.22e-02    2.23e-02      5.32e-02    5.33e-02    6.0e-04
  25100      1.24e+00    1.23e+00      1.49e-02    1.50e-02      5.03e-02    5.01e-02    6.0e-04
  25200      1.31e+00    1.30e+00      6.51e-04    4.67e-04      5.34e-02    5.32e-02    6.0e-04
  25300      1.36e+00    1.19e+00      9.89e-03    9.99e-03      5.53e-02    4.85e-02    6.0e-04
  25400      1.36e+00    1.29e+00      1.44e-02    1.48e-02      5.52e-02    5.23e-02    6.0e-04
  25500      1.38e+00    1.47e+00      1.17e-02    1.16e-02      5.63e-02    5.98e-02    6.0e-04
  25600      1.54e+00    1.49e+00      8.11e-03    8.25e-03      6.28e-02    6.07e-02    6.0e-04
  25700      1.31e+00    1.33e+00      2.02e-02    2.05e-02      5.32e-02    5.36e-02    6.0e-04
  25800      1.31e+00    1.17e+00      2.39e-02    2.34e-02      5.26e-02    4.71e-02    6.0e-04
  25900      1.44e+00    1.34e+00      7.20e-03    8.00e-03      5.87e-02    5.47e-02    6.0e-04
